Date,운영차압,비플럭스,원수 수온,원수 탁도,원수 TDS,원수 전기전도도,원수 pH,유입압력,생산량,is_operating,cycle_id,rain,temp
2021-01-01 00:00:01,3.359999999999999,5.899170096526787,3.69,0.41,503.73,839.55,7.06,12.04,781.43,True,1,0.0,-6.333052999815587
2021-01-01 01:00:01,3.41,5.842618004416609,3.68,0.39,504.048,840.08,7.06,12.15,781.57,True,1,0.0,-6.895429402713623
2021-01-01 02:00:01,3.380000000000001,5.8279464629162785,3.61,0.38,504.732,841.22,7.07,12.16,778.91,True,1,0.0,-8.597189279401
2021-01-01 03:00:01,3.33,5.891886190784973,3.59,0.33,505.52399999999994,842.54,7.07,12.08,781.64,True,1,0.0,-8.484224945342895
2021-01-01 04:00:01,3.58,5.898117127543014,3.52,0.32,506.148,843.58,7.07,12.17,779.79,True,1,0.0,-9.14675695808906
2021-01-01 05:00:01,3.450000000000001,5.885573325056688,3.48,0.32,506.658,844.43,7.07,12.23,785.39,True,1,0.0,-10.054504613397636
2021-01-01 06:00:01,3.4000000000000004,5.853541257863957,3.44,0.34,507.018,845.03,7.08,12.17,776.66,True,1,0.0,-10.020026598661568
2021-01-01 07:00:01,3.3999999999999986,5.836568908114079,3.41,0.34,507.684,846.14,7.08,12.2,776.0,True,1,0.0,-9.46564700367245
2021-01-01 08:00:01,3.41,5.839553238144978,3.39,0.34,508.272,847.12,7.08,12.23,777.59,True,1,0.0,-8.757992891116087
2021-01-01 09:00:01,3.2200000000000006,5.85868493071582,3.38,0.31,508.71,847.85,7.08,11.76,748.06,True,1,0.0,-7.504165834837908
2021-01-01 10:00:01,3.229999999999998,5.843832379677963,3.4,0.32,508.98599999999993,848.31,7.08,11.78,748.24,True,1,0.0,-5.866697847584072
2021-01-01 11:00:01,3.0999999999999996,5.8955307682874425,3.35,0.33,508.8119999999999,848.02,7.07,11.4,726.55,True,1,0.0,-4.767531014551652
2021-01-01 12:00:01,3.09,5.892212127258977,3.4,0.36,508.848,848.08,7.07,11.37,725.63,True,1,0.1077586206896551,-3.6077161796522734
2021-01-01 13:00:01,3.140000000000001,5.9143234879353015,3.36,0.34,509.07,848.45,7.06,11.47,733.36,True,1,0.0,-2.455493390213344
2021-01-01 14:00:01,3.08,5.923944669115357,3.4,0.35,509.454,849.09,7.05,11.38,730.59,True,1,0.0,-1.612964334058105
2021-01-01 15:00:01,3.08,5.896578232910547,3.37,0.38,510.02399999999994,850.04,7.04,11.39,727.0,True,1,0.0,-0.9146306679932684
2021-01-01 16:00:01,3.119999999999999,5.921623327247119,3.39,0.39,510.714,851.19,7.04,11.43,732.33,True,1,0.0,-1.2974384320013426
2021-01-01 17:00:01,3.119999999999999,5.880914881059614,3.39,0.39,511.62,852.7,7.04,11.45,729.02,True,1,0.0,-1.3769135281390903
2021-01-01 18:00:01,3.109999999999999,5.882582264821399,3.37,0.39,512.448,854.08,7.04,11.44,728.05,True,1,0.1077586206896551,-1.541695889187657
2021-01-01 19:00:01,3.0999999999999996,5.893484784518808,3.39,0.39,513.372,855.62,7.03,11.44,730.26,True,1,0.0,-1.7451841669061108
2021-01-01 20:00:01,3.09,5.882514220269094,3.38,0.34,514.134,856.89,7.03,11.42,727.08,True,1,0.0,-2.7941057641310163
2021-01-01 21:00:01,3.130000000000001,5.924546083614599,3.38,0.33,514.626,857.71,7.03,11.47,734.82,True,1,0.0,-3.1992603757846325
2021-01-01 22:00:01,3.09,5.885385135530913,3.39,0.36,515.0459999999999,858.41,7.03,11.42,727.66,True,1,0.0,-3.74959915434436
2021-01-01 23:00:01,3.109999999999999,5.872865800481526,3.44,0.43,515.424,859.04,7.03,11.45,729.46,True,1,0.0,-3.413703958273472
2021-01-02 00:00:01,3.09,5.91155822765016,3.41,0.46,515.448,859.08,7.02,11.4,729.76,True,1,0.0,-3.696511722281546
2021-01-02 01:00:01,3.09,5.89462056849774,3.42,0.46,515.604,859.34,7.02,11.4,727.99,True,1,0.0,-4.600833166967582
2021-01-02 02:00:01,3.119999999999999,5.8907711697151655,3.42,0.47,515.784,859.64,7.02,11.42,728.13,True,1,0.0,-5.147745734904768
2021-01-02 03:00:01,3.130000000000001,5.896149037335762,3.41,0.47,516.216,860.36,7.01,11.46,731.5,True,1,0.0,-4.741727364843959
2021-01-02 04:00:01,3.0999999999999996,5.899068532453458,3.41,0.49,516.87,861.45,7.01,11.42,729.39,True,1,0.0,-5.929315569496792
2021-01-02 05:00:01,3.09,5.861870642631815,3.39,0.47,517.3019999999999,862.17,7.02,11.47,728.44,True,1,0.0,-6.196169026928991
2021-01-02 06:00:01,3.120000000000001,5.883440429871093,3.36,0.43,518.0219999999999,863.37,7.02,11.49,730.91,True,1,0.0,-5.853733513525967
